Place type,Room type,Location,Latitude,Longitude,Price/night (SGD),Total Price (SGD),Bedrooms,Beds,Bathrooms,Superhost,Host Reviews,Host Rating,Total Reviews,Rating,Cleanliness Rating,Accuracy Rating,Check-in Rating,Communication Rating,Location Rating,Value Rating,Amenities,Link
Entire home,Flat,Khet Ratchathewi,13.75101571378372,100.55505645669162,$69,$461,2,2,1,False,615,4.52,19,5.0,4.8,4.9,4.8,4.9,4.7,4.9,"['Hair dryer', 'Shampoo', 'Hot water', 'Washing machine', 'Essentials', 'Hangers', 'Bed linen', 'Room-darkening blinds', 'Clothes storage', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Smoke alarm', 'Carbon monoxide alarm', 'Wifi', 'Fridge', 'Microwave', 'Dishes and cutlery', 'Kettle', 'Wine glasses', 'Dining table', 'Private entrance', 'Patio or balcony', 'Lift', 'Long-term stays allowed']",https://www.airbnb.com.sg/rooms/1065001058637987704?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723541602_P39-2_bReSImECYp&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Room,Room,Khet Ratchathewi,13.7549,100.5313,$38,$249,0,2,1,True,1353,4.87,5,5.0,5.0,5.0,5.0,5.0,4.8,5.0,"['Hair dryer', 'Local Brand shampoo', 'Local Brand body soap', 'Bidet', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linen', 'Extra pillows and blankets', 'Room-darkening blinds', 'Clothes drying rack', 'TV', 'Air conditioning', 'Lock on bedroom door', 'Exterior security cameras on property', 'First aid kit', 'Wifi', 'Hitachi refrigerator', 'Microwave', 'Dishes and cutlery', 'Kettle', 'Toaster', 'Waste compactor', 'Kitchenette', 'Dining table', 'Paid car park off premises', 'Luggage drop-off allowed', 'Self check-in', 'Smart lock']",https://www.airbnb.com.sg/rooms/1185425012345638748?adults=3&category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1942832920&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723541603_P3NxK4wLjDdmeUJf&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Entire home,Serviced apartment,Phayathai,13.7736,100.5408,$91,$566,2,2,2,True,1928,4.85,916,4.83,4.8,4.9,4.9,4.9,4.7,4.8,"['Hair dryer', 'Shampoo', 'Body soap', 'Bidet', 'Hot water', 'Shower gel', 'Free washer – In building', 'Free dryer – In building', 'Essentials', 'Hangers', 'Bed linen', 'Room-darkening blinds', 'Iron', 'Clothes drying rack', 'Safe', 'Clothes storage: wardrobe', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Smoke alarm', 'Fire extinguisher', 'Wifi', 'Kitchen', 'Fridge', 'Microwave', 'Dishes and cutlery', 'Freezer', 'Cooker', 'Kettle', 'Dining table', 'Patio or balcony', 'Free parking on premises', 'Shared pool', 'Lift', 'Private gym in building', 'Luggage drop-off allowed', 'Long-term stays allowed', 'Self check-in', 'Building staff']",https://www.airbnb.com.sg/rooms/33980217?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723541603_P32V2UoLbqq0P4WZ&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Entire home,Flat,Bangkok,13.77645,100.54519,$70,$436,1,2,1,True,1632,4.9,41,5.0,5.0,5.0,5.0,5.0,4.8,5.0,"['Hair dryer', 'Shampoo', 'Essentials', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Fire extinguisher', 'Wifi', 'Fridge', 'Microwave', 'Luggage drop-off allowed', 'Self check-in', 'Building staff']",https://www.airbnb.com.sg/rooms/26984763?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723541603_P3w0rFlcqB35rij1&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Entire home,Apartment,Khet Bang Rak,13.72304,100.51733,$146,$915,2,3,1,False,1465,4.77,130,4.73,0,0,0,0,0,0,"['City skyline view', 'Hair dryer', 'Shampoo', 'Hot water', 'Free washer – In unit', 'Free dryer – In unit', 'Essentials', 'Hangers', 'Iron', '50-inch HDTV with Netflix', 'Central air conditioning', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Fast wifi – 74 Mbps', 'Kitchen', 'Fridge', 'Microwave', 'Cooking basics', 'Dishes and cutlery', 'Cooker', 'Oven', 'Coffee maker', 'Private patio or balcony', 'Lift', 'Paid parking on premises', 'Long-term stays allowed', 'Host greets you']",https://www.airbnb.com.sg/rooms/29070466?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723541603_P3vfrSq3_Mq9Fr-K&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Entire home,Flat,Khet Khlong Toei,13.73601,100.55694,$109,$684,2,2,2,True,4053,4.83,60,4.73,0,0,0,0,0,0,"['Bath', 'Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Washing machine', 'Essentials', 'Hangers', 'Room-darkening blinds', 'Iron', 'Clothes storage: wardrobe', 'TV', 'Exercise equipment', 'Air conditioning', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Fridge', 'Microwave', 'Dishes and cutlery', 'Induction cooker', 'Kettle', 'Dining table', 'Private entrance', 'Resort access', 'Patio or balcony', 'Pool', 'Lift', 'Gym', 'Paid multistorey car park off premises', 'Paid parking on premises', 'Self check-in', 'Lockbox']",https://www.airbnb.com.sg/rooms/922676874480687831?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723541603_P3Xw9Wyu6SEkb0yG&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Entire home,Flat,Watthana,13.74465439412903,100.55530106290638,$75,$474,2,2,1,True,830,4.8,12,4.92,4.8,5.0,5.0,5.0,4.8,4.9,"['Garden view', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Hangers', 'Bed linen', 'Room-darkening blinds', 'Iron', 'Clothes drying rack', 'Clothes storage', '65-inch HDTV with Netflix, Disney+, Amazon Prime Video', 'Window AC unit', 'Portable fans', 'Smoke alarm', 'First aid kit', 'Fast wifi – 85 Mbps', 'Dedicated workspace', 'Kitchen', 'Fridge', 'Microwave', 'Cooking basics', 'Dishes and cutlery', 'Electrolux electric cooker', 'Kettle', 'Wine glasses', 'Toaster', 'Rice cooker', 'Dining table', 'Private entrance', 'Patio or balcony', 'Free parking on premises', 'Shared outdoor pool – available all year, open specific hours, infinity, lap pool, rooftop', 'Lift', 'Shared gym in building', 'Single level home', 'Luggage drop-off allowed', 'Long-term stays allowed', 'Host greets you']",https://www.airbnb.com.sg/rooms/1024831567442160035?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723541603_P3U4k0_baNQHz8RA&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Entire home,Flat,Khet Ratchathewi,13.755,100.5392,$67,$414,1,3,1,True,203,4.87,203,4.87,4.9,4.9,4.9,4.9,4.7,4.8,"['Hair dryer', 'Shampoo', 'Hot water', 'Essentials', 'Hangers', 'Bed linen', 'TV', 'Air conditioning', 'Fire extinguisher', 'Wifi', 'Kitchen', 'Fridge', 'Microwave', 'Dishes and cutlery', 'Private entrance', 'Patio or balcony', 'Free parking on premises', 'Free on-street parking', 'Host greets you']",https://www.airbnb.com.sg/rooms/23081317?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723541603_P3TPIpf6ShLFBRua&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Entire home,Apartment,Khet Phaya Thai,13.790423214534393,100.55484192489516,$72,$541,2,2,2,True,19,4.89,18,4.89,5.0,4.8,4.8,5.0,4.7,5.0,"['Pool view', 'City skyline view', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Bidet', 'Outdoor shower', 'Hot water', 'Shower gel', 'Washing machine', 'Paid dryer – In building', 'Essentials', 'Hangers', 'Bed linen', 'Extra pillows and blankets', 'Iron', 'Clothes drying rack', 'Clothes storage: wardrobe', 'TV', 'Exercise equipment', 'Air conditioning', 'Exterior security cameras on property', 'Smoke alarm', 'Fire extinguisher', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Fridge', 'Microwave', 'Cooking basics', 'Dishes and cutlery', 'Freezer', 'Cooker', 'Kettle', 'Wine glasses', 'Dining table', 'Coffee', 'Private entrance', 'Launderette nearby', 'Private patio or balcony', 'Shared back garden', 'Outdoor furniture', 'Sun loungers', 'Free parking on premises', 'Free on-street parking', 'Shared outdoor pool – available all year, open specific hours', 'Shared sauna', 'Lift', 'Shared gym in building', 'Paid car park off premises', 'Luggage drop-off allowed', 'Long-term stays allowed']",https://www.airbnb.com.sg/rooms/1026792802639317400?adults=3&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-03&check_out=2024-10-10&source_impression_id=p3_1723541603_P3XRYz7S6X6uzs3O&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Entire home,Flat,Khet Pathum Wan,13.7384,100.5179,$151,$604,2,3,2,True,854,4.96,201,4.99,5.0,5.0,5.0,5.0,4.9,5.0,"['Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linen', 'Iron', 'TV', 'Air conditioning', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Wifi', 'Kitchen', 'Fridge', 'Microwave', 'Cooking basics', 'Dishes and cutlery', 'Coffee maker', 'Private entrance', 'Patio or balcony', 'Free parking on premises', 'Free on-street parking', 'Long-term stays allowed', 'Host greets you']",https://www.airbnb.com.sg/rooms/34070414?adults=3&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-08&source_impression_id=p3_1723541603_P3gjcNAwHxgG3rlM&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
